CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
46;CN;70067;D;22;0;;205.397;-0.56066;0.14847;Branco;133;
46;CN;71251;A;17;0;;35.329;0.4356;0.25073;Branco;123;
91;LC;71697;E;5;0;;24.867;0.70119;0.11027;Cinza;126;0
103;LC;58193;C;16;0;;136.373;115.475;0.12693;Rosa;128;
101;LC;58193;C;16;0;;136.373;115.475;0.12693;Amarelo;125;
99;LC;58193;C;16;0;;136.373;115.475;0.12693;Azul;127;
47;CN;73367;C;8;0;;26.033;0.07698;0.22333;Branco;123;
115;LC;59041;B;16;0;;101.513;109.347;0.05916;Rosa;128;
91;LC;75845;D;5;0;;284.258;0.73444;0.21881;Cinza;126;1
113;LC;59041;B;16;0;;101.513;109.347;0.05916;Amarelo;125;
113;LC;59041;B;16;0;;101.513;109.347;0.05916;Azul;127;
104;LC;59047;A;12;0;;241.737;0.3578;0.37829;Cinza;135;
115;LC;59053;D;23;0;;137.445;-0.03088;0.07084;Azul;127;
115;LC;59053;D;23;0;;137.445;-0.03088;0.07084;Amarelo;125;
92;LC;73759;D;6;0;;330.464;0.34683;0.22541;Cinza;126;1
111;LC;59053;D;23;0;;137.445;-0.03088;0.07084;Rosa;128;
92;LC;59061;E;6;0;;183.982;-0.14281;0.16056;Cinza;135;1
119;LC;59073;C;24;0;;188.668;0.51902;0.19895;Cinza;135;
106;LC;59146;E;23;0;;160.467;-0.46437;0.13861;Amarelo;125;
92;LC;75898;D;5;0;;437.406;0.39162;0.31211;Cinza;126;0
109;LC;59146;E;23;0;;160.467;-0.46437;0.13861;Azul;127;
105;LC;59146;E;23;0;;160.467;-0.46437;0.13861;Rosa;128;
109;LC;59158;A;18;0;;210.932;0.31152;0.13545;Amarelo;125;
108;LC;59158;A;18;0;;210.932;0.31152;0.13545;Rosa;128;
106;LC;59158;A;18;0;;210.932;0.31152;0.13545;Azul;127;
93;LC;73694;B;7;0;;144.762;0.39287;0.15652;Cinza;126;1
106;LC;59160;E;23;0;;164.488;0.44953;0.11816;Cinza;135;
47;CN;73751;D;21;0;;321.433;0.82529;0.09098;Branco;133;
48;CN;70680;E;11;0;;206.305;0.57197;0.15773;Branco;133;
67;CN;59277;E;22;0;;114.962;257.131;0.11924;Azul;121;
64;CN;59277;E;22;0;;114.962;257.131;0.11924;Rosa;124;
63;CN;59277;E;22;0;;114.962;257.131;0.11924;Amarelo;122;
48;CN;70762;E;14;0;;358.475;0.63064;0.1944;Branco;123;
49;CN;71802;A;17;0;;136.679;-0.46614;0.22207;Branco;133;
95;LC;59556;A;8;0;;208.909;0.50623;0.2154;Cinza;135;1
114;LC;59582;C;16;0;;219.629;244.452;0.13754;Cinza;135;
102;LC;59583;D;17;0;;182.576;0.74516;0.1882;Azul;127;
100;LC;59583;D;17;0;;182.576;0.74516;0.1882;Rosa;128;
93;LC;73830;E;6;0;;396.117;0.61748;0.1347;Cinza;126;0
98;LC;59583;D;17;0;;182.576;0.74516;0.1882;Amarelo;125;
121;LC;59586;B;25;0;;176.722;0.03687;0.12587;Cinza;135;
102;LC;59604;D;12;0;;127.481;-0.29353;0.12459;Cinza;135;
127;LC;59702;B;28;0;;20.184;0.52632;0.12131;Cinza;135;
112;LC;70012;A;1;0;;126.532;0.27696;0.17019;Amarelo;125;
94;LC;71451;A;7;0;;208.444;0.12125;0.0931;Cinza;126;1
111;LC;70012;A;1;0;;126.532;0.27696;0.17019;Azul;127;
114;LC;70012;A;1;0;;126.532;0.27696;0.17019;Rosa;128;
93;LC;70028;E;7;0;;310.614;0.26757;0.20257;Cinza;135;0
156;MT;70034;A;23;0;;287.279;168.092;0.16149;Rosa;132;
159;MT;70034;A;23;0;;287.279;168.092;0.16149;Azul;131;
136;MT;70183;A;1;0;;211.832;0.73515;0.18808;Cinza;130;
160;MT;70034;A;23;0;;287.279;168.092;0.16149;Amarelo;129;
142;MT;70038;E;2;0;;156.364;207.818;0.11765;Cinza;136;
49;CN;71976;C;23;0;;294.675;184.632;0.05897;Branco;123;
54;CN;70052;C;21;0;;150.263;0.97069;0.13153;Rosa;124;
57;CN;70052;C;21;0;;150.263;0.97069;0.13153;Amarelo;122;
56;CN;70052;C;21;0;;150.263;0.97069;0.13153;Azul;121;
50;CN;70064;C;24;0;;315.008;148.931;0.17477;Branco;133;
137;MT;72052;B;10;0;;223.008;0.55451;0.27798;Cinza;130;
168;MT;70053;D;16;0;;181.642;10.908;0.24672;Rosa;132;
171;MT;70053;D;16;0;;181.642;10.908;0.24672;Amarelo;129;
166;MT;70053;D;16;0;;181.642;10.908;0.24672;Azul;131;
50;CN;70828;D;12;0;;0.68497;0.57856;0.04935;Branco;123;
77;CN;70057;E;3;0;;133.898;0.81039;0.11803;Rosa;124;
80;CN;70057;E;3;0;;133.898;0.81039;0.11803;Amarelo;122;
76;CN;70057;E;3;0;;133.898;0.81039;0.11803;Azul;121;
51;CN;71969;D;17;0;;139.784;305.693;0.12168;Branco;133;
51;CN;73517;D;18;0;;0.95998;247.488;0.13616;Branco;123;
58;CN;70070;E;24;0;;194.387;106.139;0.36596;Azul;121;
52;CN;70052;C;21;0;;150.263;0.97069;0.13153;Branco;123;
52;CN;70070;E;24;0;;194.387;106.139;0.36596;Amarelo;122;
56;CN;70070;E;24;0;;194.387;106.139;0.36596;Rosa;124;
65;CN;70106;E;13;0;;0.53142;319.792;0.0887;Azul;121;
