"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,568571774149313;0,261966222119154;0,362789107040712;0,526138206171295;0,361366263459174;0,644645566125997;0,807822986415447;0,74920547301122;0,507959782604496;0,575903414790225
"ALETF20";0,618599491961299;0,354183256947622;0,47385352062833;0,431377446936545;0,435095442575169;0,686707884563885;0,631318478553462;0,652368770072129;0,855786481804597;0,491043419677669
"ALEEP30";0,431049652863342;0,325575409540676;0,295416930919357;0,489993117527234;0,493310329026177;0,428507543592473;0,821636309309037;0,567335370945477;0,307974347501921;0,261516330735153
"ALEEP30RE015";0,761648182794048;0,671437349623507;0,256533886424885;0,289470548853855;0,336079899776286;0,676235323446687;0,721312970845452;0,538599882717505;0,661048251951083;0,800996383401669
"MIFTF45";0,392450028872634;0,504965599240172;0,535332911073223;0,575875893386354;0,633522442095903;0,656965961531252;0,777138762828522;0,646845041725214;0,816611931179461;0,790218952866499
"MIFTF20";0,425520535606879;0,357583226766455;0,533607959903905;0,594313899931849;0,685822006647803;0,776343331024686;0,987067865255967;0,872844108733758;1,09207031940635;1,07230337607213
"MIFEP30";0,438229389600817;0,551114777440818;0,545060628919008;0,530314123586572;0,61504370567951;0,664299186796135;0,865576025696461;0,897679776384204;1,08774602819464;1,14161496981169
"MIFEP30RE015";0,406716718559348;0,29326614858889;0,533557397955465;0,606329551683415;0,689408706569662;0,868567974882518;1,07764645836057;1,00840971387715;1,22531426355181;1,13554630168485
"PR-1TF45";0,405571141289863;0,454265226939639;0,349369416267304;0,580028190068294;0,470356290661233;0,646587711042651;0,745584919904039;0,480091309206491;0,565950409678533;0,5722086322507
"PR-1TF20";0,411408031309343;0,45539886739245;0,37679529331482;0,575078567624577;0,623585170538239;0,606756038349429;0,865077276383706;0,855237823510566;0,773071788425943;0,724148437889807
"PR-1EP30";0,374701055729344;0,464402435891316;0,540017092056807;0,499159955748704;0,511825721881072;0,631254137177143;0,639667580265323;0,683363600449708;0,854115073562527;0,90182994995947
"PR-1EP30RE015";0,496326480937003;0,370179520137354;0,508174930476113;0,533159448861293;0,492832450841414;0,839602184865561;0,756320733128708;0,776669158985911;0,855189218925822;0,882101169517018
"PR0TF45";0,430323550384738;0,427104430576273;0,577830211584673;0,598964583519075;0,368213360900774;0,646248229935082;0,667442713769482;0,534788827311701;0,50781838515561;0,564788949148797
"PR0TF20";0,518031492651197;0,422175359853204;0,414582794427182;0,549442725577037;0,521779718047338;0,78954958195124;0,798972567125583;0,786031743516286;0,920158793563266;0,85027814169927
"PR0EP30";0,379712508095557;0,447633963698401;0,405318429484221;0,524019988199664;0,513923213752308;0,613818910929447;0,738945467139262;0,622053251840791;0,624016886475447;0,928206702881863
"PR0EP30RE015";0,427864370362506;0,339097715698162;0,430290624645276;0,604267476052621;0,525063108903034;0,920760042183244;0,76192710645132;0,85234250716382;0,851227289574452;0,770999090724649
"PR1TF45";0,375371554441801;0,450394347451194;0,417808882078073;0,598800307181171;0,358336482865234;0,674605369491476;0,817623455842954;0,529167328370206;0,687337858127189;0,421366118430473
"PR1TF20";0,449350115812968;0,425926472636905;0,347954201860433;0,543933103463671;0,679222125687602;0,856410489352311;0,686731947957973;0,73226645601474;0,931645199141162;0,726636820084453
"PR1EP30";0,410086609389353;0,471080087325692;0,525583351660981;0,633564011491898;0,390774769789845;0,599092638841548;0,586572850175488;0,769098879851972;0,741360585314073;0,621387923433775
"PR1EP30RE015";0,256331263767947;0,220757238902712;0,360392966892354;0,568405921069555;0,572763924622256;0,945965195502656;0,892028365895277;0,878924603962385;1,13674522244691;0,715855920577372
"PR2TF45";0,543774453668747;0,529281376082583;0,402738265853875;0,499789803366781;0,48010262509782;0,729249309825762;0,5369021561992;0,681113942331794;0,660329598681825;0,549183548944473
"PR2TF20";0,401970527298438;0,41315017129629;0,69124008628382;0,45877746600835;0,528333436084556;0,919165554365706;0,711154298663472;0,844032746968199;0,788955014248893;0,5655286550542
"PR2EP30";0,421009716975307;0,445647712923219;0,455671629158537;0,570611921500991;0,643584149678133;0,655612346083655;0,817252154226789;0,658506297122105;0,839716205204117;0,589255161790927
"PR2EP30RE015";0,314934955896779;0,2144876534711;0,374922985359848;0,469887372267257;0,465689605111528;0,626925952527374;0,814580432798697;0,717715462766147;1,05335647157506;0,894277909064833
