"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,457410164038689;0,431713809430233;0,32654711955232;0,355535938667277;0,281379635307058;0,325056525123358;0,206222357695773;0,221338832930517;0,198380738592155;0,202689384917009
"ALETF20";0,557307378426528;0,479913053995586;0,549988778448245;0,432565091459577;0,412549498308558;0,40286360620719;0,355538490451408;0,371269079708462;0,317797012474083;0,351956923662489
"ALEEP30";0,446780722281762;0,360029517883666;0,33343491240061;0,31112703806469;0,289728661168692;0,298796616102688;0,291919591031979;0,287586743712689;0,289598335909359;0,292634051352969
"ALEEP30RE015";0,600021458561437;0,566694982210415;0,554681137915755;0,542567437734401;0,515199556211251;0,478752825737382;0,405386753038603;0,43970977071247;0,38622408584132;0,363620466827402
"MIFTF45";0,26734398819527;0,221931474994027;0,177973983951803;0,159429873287776;0,146786904546852;0,132047759647261;0,123134141808447;0,127751002795084;0,114817315828786;0,11570487357116
"MIFTF20";0,354375074822622;0,281357522158641;0,257358235466506;0,231669936551295;0,223960451797496;0,207357564900191;0,177847783427211;0,198439897401235;0,174206993243047;0,17458097865965
"MIFEP30";0,296447635479816;0,274026392732664;0,26248844353584;0,253794415208527;0,242466122630518;0,232126951429397;0,210617629411821;0,22471961544934;0,200980908461412;0,210150050106572
"MIFEP30RE015";0,390820242823631;0,32602240773603;0,312966664789957;0,256702256992033;0,285020131035947;0,244514518685511;0,210617629411821;0,231922975914026;0,200980908461412;0,210150050106572
"PR-1TF45";0,308360498244628;0,27589722791322;0,247862301259053;0,218419569408018;0,176579309271857;0,147094258990569;0,143884612586734;0,130073276005213;0,11777756592558;0,125095944157787
"PR-1TF20";0,385053244096002;0,331810524368489;0,343722082158422;0,263622919871627;0,247051555801344;0,239267871850985;0,194948407262902;0,195259634973167;0,206917814999388;0,163107854465838
"PR-1EP30";0,298263769085729;0,305433587656629;0,29708986262285;0,268320471133676;0,252950840409519;0,250149060550042;0,236158641957664;0,219021276714581;0,207946928407648;0,219032398289104
"PR-1EP30RE015";0,446708310646977;0,394450237718921;0,399465168542791;0,287958124790684;0,295541480284654;0,248784508666751;0,264059607197282;0,223936933247584;0,197362102076077;0,202703142109198
"PR0TF45";0,277559846843008;0,268421099159548;0,279084042150342;0,19729351508429;0,178164348721888;0,150147720180838;0,134995959828051;0,12884440297665;0,120622764825977;0,125977218060418
"PR0TF20";0,374694561675281;0,340794091052795;0,352320624256019;0,293047417536381;0,311980906153745;0,207815028756777;0,208666316676589;0,196478794952648;0,183532532631791;0,213809360415507
"PR0EP30";0,305266963753709;0,301984879990475;0,273381985286;0,276588660939092;0,248601591359086;0,215684536603826;0,212186408083511;0,215913646235353;0,220417876398146;0,207500643437934
"PR0EP30RE015";0,406674230358626;0,362479359455004;0,3293876323105;0,312665462566475;0,335486260717251;0,245091323604785;0,259238454877258;0,242764413351566;0,229310212514681;0,217530022091732
"PR1TF45";0,31191155544014;0,319934296221517;0,250187904904646;0,206176124145089;0,192946186242071;0,156303958818322;0,160728492910132;0,125053740207152;0,137197560661755;0,127276696809492
"PR1TF20";0,375525331799652;0,346489465327723;0,280301421508366;0,253349956629933;0,239724069872451;0,210808915054959;0,201327381109276;0,21308243031441;0,191281952958967;0,198964220195715
"PR1EP30";0,293593713887601;0,292905055098237;0,287197801771986;0,273443802440233;0,265408990265899;0,261283827612974;0,242268344044755;0,230608143070554;0,219719542028484;0,212307684740016
"PR1EP30RE015";0,406759436307293;0,379190051938889;0,370690658325479;0,310521873549625;0,250068328745671;0,253660396644236;0,228597113168714;0,254075003636129;0,210851540065879;0,227071134604984
"PR2TF45";0,354174504217669;0,299551194194371;0,274708728496687;0,200210227009078;0,200698935999236;0,171396288923786;0,151803461636425;0,13124425525599;0,13748651307559;0,133341854804714
"PR2TF20";0,399678935502336;0,3510653390505;0,29383725319119;0,268565949851645;0,296043804672845;0,228097806951392;0,200274009008459;0,188427621575528;0,214628322576764;0,206266410159919
"PR2EP30";0,312625056516348;0,28914734841197;0,285520448874187;0,277920663603851;0,278915378864443;0,282205702223494;0,250080059611419;0,2334944026094;0,254587490396079;0,240063547767159
"PR2EP30RE015";0,488547806713558;0,467163689024852;0,439045276945096;0,368712612327932;0,354999706315336;0,310399637138242;0,287168527583331;0,276416337189714;0,259266169400592;0,255387703447152
