"area";"exp";"ALETF45";"ALETF20";"ALEEP30";"ALEEP30RE015";"MIFTF45";"MIFTF20";"MIFEP30";"MIFEP30RE015";"PR-1TF45";"PR-1TF20";"PR-1EP30";"PR-1EP30RE015";"PR0TF45";"PR0TF20";"PR0EP30";"PR0EP30RE015";"PR1TF45";"PR1TF20";"PR1EP30";"PR1EP30RE015";"PR2TF45";"PR2TF20";"PR2EP30";"PR2EP30RE015"
"CH";"0";0,117724867724868;0,157407407407407;0,119047619047619;0,212962962962963;0,703703703703704;0,867724867724868;0,829365079365079;0,898148148148148;0,506613756613757;0,695767195767196;0,511904761904762;0,703703703703704;0,494708994708995;0,707671957671958;0,518518518518518;0,677248677248677;0,175925925925926;0,44973544973545;0,42989417989418;0,562169312169312;0,134920634920635;0,355820105820106;0,215608465608466;0,271164021164021
"CH";"(0,0.02]";0,0277777777777778;0,330687830687831;0,0317460317460317;0,428571428571429;0,0476190476190476;0,00793650793650794;0,0105820105820106;0,00793650793650794;0,154761904761905;0,137566137566138;0,220899470899471;0,166666666666667;0,173280423280423;0,130952380952381;0,223544973544974;0,194444444444444;0,252645502645503;0,318783068783069;0,275132275132275;0,260582010582011;0,183862433862434;0,388888888888889;0,305555555555556;0,431216931216931
"CH";"(0.02,0.05]";0,277777777777778;0,448412698412698;0,234126984126984;0,333333333333333;0,0489417989417989;0,0291005291005291;0,0277777777777778;0,0251322751322751;0,0595238095238095;0,0396825396825397;0,044973544973545;0,0383597883597884;0,0595238095238095;0,0238095238095238;0,0489417989417989;0,037037037037037;0,252645502645503;0,100529100529101;0,0833333333333333;0,0727513227513227;0,342592592592593;0,133597883597884;0,26984126984127;0,23015873015873
"CH";"(0.05,0.1]";0,501322751322751;0,0634920634920635;0,513227513227513;0,0251322751322751;0,0396825396825397;0,0357142857142857;0,0291005291005291;0,0211640211640212;0,0568783068783069;0,037037037037037;0,0529100529100529;0,0251322751322751;0,0582010582010582;0,0489417989417989;0,0515873015873016;0,0291005291005291;0,145502645502645;0,0687830687830688;0,0529100529100529;0,0555555555555556;0,19973544973545;0,0674603174603175;0,0833333333333333;0,0502645502645503
"CH";"(0.1,0.15]";0,0753968253968254;0;0,0925925925925926;0;0,0476190476190476;0,0158730158730159;0,0145502645502645;0,0119047619047619;0,0436507936507936;0,0185185185185185;0,037037037037037;0,0158730158730159;0,0357142857142857;0,0211640211640212;0,0317460317460317;0,0158730158730159;0,0555555555555556;0,0171957671957672;0,0383597883597884;0,0145502645502645;0,041005291005291;0,0198412698412698;0,0343915343915344;0,0145502645502645
"CH";"(0.15,0.2]";0;0;0,00925925925925926;0;0,0277777777777778;0,00529100529100529;0,00529100529100529;0,00396825396825397;0,0529100529100529;0,0145502645502645;0,0238095238095238;0,0119047619047619;0,0396825396825397;0,0145502645502645;0,0132275132275132;0,00793650793650794;0,0462962962962963;0,00793650793650794;0,0251322751322751;0,0119047619047619;0,037037037037037;0,00793650793650794;0,0185185185185185;0,00264550264550265
"CH";"(0.2,0.25]";0;0;0;0;0,00925925925925926;0,00264550264550265;0,0171957671957672;0,00396825396825397;0,0198412698412698;0,0211640211640212;0,0158730158730159;0,00661375661375661;0,0291005291005291;0,00793650793650794;0,0251322751322751;0,00793650793650794;0,0145502645502645;0,0132275132275132;0,0119047619047619;0,00925925925925926;0,0145502645502645;0,00661375661375661;0,0185185185185185;0
"CH";"(0.25,0.3]";0;0;0;0;0,00661375661375661;0,00396825396825397;0,0132275132275132;0,00396825396825397;0,105820105820106;0,0357142857142857;0,0925925925925926;0,0317460317460317;0,10978835978836;0,044973544973545;0,0873015873015873;0,0304232804232804;0,0568783068783069;0,0238095238095238;0,0833333333333333;0,0132275132275132;0,0462962962962963;0,0198412698412698;0,0542328042328042;0
"CH";"(0.3,0.4]";0;0;0;0;0,0145502645502645;0,00661375661375661;0,0158730158730159;0,00661375661375661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CH";"(0.4,1]";0;0;0;0;0,0542328042328042;0,0251322751322751;0,037037037037037;0,0171957671957672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
