"area";"selection";"stop";"NIA";"MIA";"min_length";"max_length";"SE";"correlation";"RMSE";"bias";"min_exp";"max_exp";"n_exp0";"n_exp_rmax";"overlap"
"CH";"Aleatorio";"TF45";45;45;45;45;0,36984162419181;0,92050210358683;0,339083429492161;0,0552525260865521;0,0332840236686391;0,108727810650888;0;0;0,0613014931005373
"CH";"Aleatorio";"TF20";20;20;20;20;0,496892465519915;0,861545626781496;0,440288778652088;0,0774712988200651;0,0133136094674556;0,0436390532544379;0;0;0,0273148918105108
"CH";"Aleatorio";"EP30";44,6471893491124;54;15;60;0,378624803016727;0,923105872456114;0,338887061133518;0,0575467380362666;0,0281065088757396;0,105029585798817;0;0;0,0612944177862002
"CH";"Aleatorio";"EP30RE015";15,4068047337278;15;15;22;0,540561730798509;0,828007090727997;0,483865586076928;0,0681679267505267;0,00813609467455621;0,0347633136094675;0;0;0,021124800086357
"CH";"MIF";"TF45";45;45;45;45;0,176075016262465;0,97500384681181;0,191601830562322;0,0158606499739709;0;0,750739644970414;440;59;0,32820974794689
"CH";"MIF";"TF20";20;20;20;20;0,240233948821054;0,962988989459652;0,233048465219225;0,0271245147920265;0;0,688609467455621;605;24;0,299551891127762
"CH";"MIF";"EP30";22,0576923076923;15;15;60;0,234701337096515;0,962199115085531;0,23164038531774;0,0212105972572525;0;1;588;20;0,321916100619097
"CH";"MIF";"EP30RE015";15,1390532544379;15;15;19;0,26813626332659;0,955596448305378;0,255152818127159;0,0334363526829405;0;0,673076923076923;649;16;0,302778156811094
"CH";"PR-1";"TF45";45;45;45;45;0,192443166051254;0,971445817281436;0,20274460300428;0,0191047357139333;0;0,300295857988166;56;15;0,218551253846543
"CH";"PR-1";"TF20";20;20;20;20;0,253718102154305;0,957628827591312;0,247621913619206;0,0322263268993341;0;0,300295857988166;100;2;0,200946056248031
"CH";"PR-1";"EP30";23,75;15;15;60;0,250272346789818;0,957950247667647;0,24468430597719;0,0255704427062852;0;0,300295857988166;35;4;0,18684657399951
"CH";"PR-1";"EP30RE015";15,164201183432;15;15;19;0,28517609590475;0,952182278399739;0,265523130322141;0,0361427673526976;0;0,300295857988166;83;1;0,180448335535456
"CH";"PR0";"TF45";45;45;45;45;0,192073801250329;0,971371548190391;0,203539223030666;0,0174481565028687;0;0,300295857988166;45;20;0,218605596598314
"CH";"PR0";"TF20";20;20;20;20;0,254923903127368;0,956662326534269;0,251922609944992;0,0288806064364744;0;0,300295857988166;79;3;0,199382297976261
"CH";"PR0";"EP30";23,5554733727811;15;15;60;0,249851711050097;0,957173503824866;0,24634657033811;0,0236203867758194;0;0,300295857988166;28;6;0,18764056900755
"CH";"PR0";"EP30RE015";15,1612426035503;15;15;20;0,287256792653146;0,949297196111804;0,273260940409004;0,0361887121798331;0;0,300295857988166;69;3;0,180123504616701
"CH";"PR1";"TF45";45;45;45;45;0,205125448903118;0,969072586531553;0,212645691798567;0,0246547113630894;0,00443786982248521;0,300295857988166;0;2;0,15788465915059
"CH";"PR1";"TF20";20;20;20;20;0,272071467424362;0,949199826342335;0,271652546208702;0,0332674334590615;0;0,300295857988166;2;2;0,132632950089283
"CH";"PR1";"EP30";24,3417159763314;15;15;60;0,254844099526746;0,954654834785131;0,254190066253907;0,0255600670079651;0;0,300295857988166;13;1;0,164225860739079
"CH";"PR1";"EP30RE015";15,185650887574;15;15;20;0,300909256182839;0,942184780194705;0,291546343007458;0,0384278246715976;0;0,300295857988166;21;1;0,131752309035348
"CH";"PR2";"TF45";45;45;45;45;0,217208201770522;0,966175232932794;0,223745569718177;0,0281659161830251;0,0125739644970414;0,300295857988166;0;1;0,132652286139997
"CH";"PR2";"TF20";20;20;20;20;0,287247615785889;0,944908583423001;0,282556708947951;0,0306763655697931;0,0014792899408284;0,298816568047337;0;0;0,102282942649067
"CH";"PR2";"EP30";27,9829881656805;19;15;60;0,277767448895881;0,951638780973899;0,262806470677056;0,0227592463297586;0,00369822485207101;0,299556213017751;0;0;0,108505211395393
"CH";"PR2";"EP30RE015";15,4164201183432;15;15;23;0,389237133502947;0,914155688522278;0,348822187513057;0,0495452630631666;0,0022189349112426;0,201183431952663;0;0;0,0435032109598188
"CN";"Aleatorio";"TF45";45;45;45;45;0,43561551154439;0,863042213952283;0,38021500120997;0,0556404093362891;0,0318275154004107;0,102669404517454;0;0;0,0622739715374082
"CN";"Aleatorio";"TF20";20;20;20;20;0,565379030923292;0,778520992206195;0,464919743188279;0,0583712415191325;0,0102669404517454;0,0441478439425051;0;0;0,0278382714435698
"CN";"Aleatorio";"EP30";51,1036960985626;60;15;60;0,412661991948742;0,87334252098948;0,367612352005726;0,036671843892949;0,0369609856262834;0,12217659137577;0;0;0,0715894420167963
"CN";"Aleatorio";"EP30RE015";15,3090349075975;15;15;19;0,604916739999603;0,74754481237402;0,492087703656512;0,0600321943473436;0,00616016427104723;0,0379876796714579;0;0;0,0214603223479159
"CN";"MIF";"TF45";45;45;45;45;0,194742854853031;0,960986885659617;0,207415755019469;0,0257919880900377;0;1;486;57;0,426238486292709
"CN";"MIF";"TF20";20;20;20;20;0,254809121419962;0,944880586883447;0,247563655150134;0,0329366197854565;0;1;620;25;0,373563155387087
"CN";"MIF";"EP30";22,4106776180698;15;15;61;0,249460351362131;0,9435867987016;0,242306198266657;0,0159803980890304;0;1;598;21;0,331875416500631
"CN";"MIF";"EP30RE015";15,1396303901437;15;15;18;0,278261307710965;0,937680538030043;0,262696498331394;0,0390143147399542;0;1;650;17;0,375502520295066
"CN";"PR-1";"TF45";45;45;45;45;0,23091516460947;0,950961558191169;0,230163683579544;0,0275138769572317;0;0,299794661190965;67;0;0,233816673623731
"CN";"PR-1";"TF20";20;20;20;20;0,284915576924393;0,92555404887717;0,286746075878536;0,0345301136906911;0;0,299794661190965;163;0;0,209345972703009
"CN";"PR-1";"EP30";28,0082135523614;15;15;60;0,270746663320467;0,932921399846954;0,264627514850251;0,0165204372432471;0,00102669404517454;0,299794661190965;0;0;0,193857148018571
"CN";"PR-1";"EP30RE015";15,1652977412731;15;15;20;0,312422542741476;0,922784165659299;0,287205126528133;0,0350091071758552;0;0,299794661190965;140;0;0,190956960034765
"CN";"PR0";"TF45";45;45;45;45;0,232918614791463;0,948385053729713;0,239361828669558;0,0359188897421066;0;0,299794661190965;67;0;0,231949791077249
"CN";"PR0";"TF20";20;20;20;20;0,285473604160969;0,934155704237184;0,270004880952705;0,0403934752720108;0;0,299794661190965;142;0;0,209807457973007
"CN";"PR0";"EP30";28,1180698151951;16;15;60;0,27274043708416;0,936991177514024;0,259079005445427;0,0278938468759014;0;0,299794661190965;4;0;0,194102531747215
"CN";"PR0";"EP30RE015";15,1622176591376;15;15;18;0,310623882671967;0,917577417511728;0,298081685960188;0,0403714792297249;0;0,299794661190965;126;0;0,189347465300411
"CN";"PR1";"TF45";45;45;45;45;0,240615591325862;0,950911001212508;0,230291817348164;0,0315099039157327;0,00513347022587269;0,299794661190965;0;0;0,164238955718871
"CN";"PR1";"TF20";20;20;20;20;0,307203612954397;0,929465118520165;0,281888906400394;0,0523509111768316;0;0,299794661190965;4;0;0,145240419279079
"CN";"PR1";"EP30";28,4733059548255;17;15;60;0,276450847464587;0,932876354689848;0,268124185610288;0,0272676222863954;0;0,299794661190965;8;0;0,181541593714365
"CN";"PR1";"EP30RE015";15,2227926078029;15;15;19;0,336608165398301;0,911040531987734;0,314657559060836;0,0517470781949542;0;0,299794661190965;27;0;0,134479608694334
"CN";"PR2";"TF45";45;45;45;45;0,251499364839096;0,946652439574166;0,243255332595406;0,0352813110115247;0,00924024640657084;0,299794661190965;0;0;0,13849500660804
"CN";"PR2";"TF20";20;20;20;20;0,323443347501456;0,922657398888208;0,296748750251895;0,0522136982608336;0,00205338809034908;0,299794661190965;0;0;0,110769008597245
"CN";"PR2";"EP30";33,5893223819302;31;15;60;0,294625026497323;0,92020632921311;0,289756758578905;0,0158733818079615;0,00718685831622177;0,299794661190965;0;0;0,123731633047322
"CN";"PR2";"EP30RE015";15,4753593429158;15;15;21;0,456665781431826;0,864963243184383;0,381464261573654;0,0567203862100916;0,00308008213552361;0,158110882956879;0;0;0,0365048209596255
"LC";"Aleatorio";"TF45";45;45;45;45;0,336175421913102;0,851007439003364;0,520411076770647;0,345556835953286;0,0170940170940171;0,120879120879121;0;0;0,0556251448396341
"LC";"Aleatorio";"TF20";20;20;20;20;0,466629439383469;0,736877201275276;0,622105242899328;0,334537865293438;0,00610500610500611;0,0561660561660562;0;0;0,0249094684992121
"LC";"Aleatorio";"EP30";42,1843711843712;41;15;60;0,336113622366789;0,849550908981868;0,487119576709753;0,28086865266274;0,0183150183150183;0,113553113553114;0;0;0,0527122720818631
"LC";"Aleatorio";"EP30RE015";15,4749694749695;15;15;21;0,50763894040911;0,692324599155289;0,644572124635672;0,332911553899717;0,00366300366300366;0,0354090354090354;0;0;0,019489006075719
"LC";"MIF";"TF45";45;45;45;45;0,170647872406993;0,876211388372711;0,642576147325668;0,52508239189277;0;0,727716727716728;548;55;0,358290260365962
"LC";"MIF";"TF20";20;20;20;20;0,242017722425305;0,801618126274604;0,741179990587001;0,583075522783305;0;0,605616605616606;707;23;0,313971295289977
"LC";"MIF";"EP30";19,017094017094;15;15;60;0,248136165706501;0,774098723695537;0,7637579035309;0,604610474456291;0;0,62026862026862;673;21;0,302465795306887
"LC";"MIF";"EP30RE015";15,1086691086691;15;15;20;0,275401912445419;0,76860467789759;0,799951856059685;0,625254327960776;0;0,603174603174603;749;16;0,306464004540617
