"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,377957071217797;0,447036415548113;0,284280304084109;0,472780094095579;0,367675232211416;0,514524174360514;0,235835590538015;0,3539268668988;0,263193232837378;0,160071296918761
"ALETF20";0,64402597086808;0,358403595488293;0,491101475717426;0,455963280112435;0,53908398078018;0,412478686807273;0,435291886207432;0,717740979630085;0,504194388500315;0,409819012967713
"ALEEP30";0,432099866624376;0,309148564037597;0,548031744635563;0,356396805020778;0,234236695956641;0,436677018812945;0,3466865252321;0,314621223083949;0,406149183716234;0,42157879007816
"ALEEP30RE015";0,378116841642132;0,321828835069178;0,568526118498555;0,419566203718152;0,500974509858489;0,532274723375189;0,485445392951964;0,594211236103351;0,538306283751501;0,449365090795632
"MIFTF45";0,25128182261225;0,367581862788396;0,429529954689067;0,501964142795679;0,475511411369977;0,482420024850365;0,472597767886498;0,727940673679078;0,45442107829927;0,467610478754987
"MIFTF20";0,354740256513989;0,362289171307725;0,480368400062348;0,581133166125404;0,592597060879655;0,653178192818977;0,602378787073755;0,948553649593399;0,638395450356874;0,77630210998439
"MIFEP30";0,285156877302357;0,358418783916485;0,477438044145242;0,588166583263638;0,613652461812455;0,690007960137716;0,655867790607619;1,03120013826356;0,722690112812878;0,850003110149842
"MIFEP30RE015";0,383388166127322;0,459869371557625;0,498211817286534;0,590234183993135;0,625532738186541;0,696963229040518;0,655867790607619;1,05476119573911;0,722690112812878;0,850003110149842
"PR-1TF45";0,388446209618177;0,516538119705371;0,598760858221321;0,754936012917592;0,599502320469536;0,497026877534787;0,628667394446095;0,592352207664068;0,520148608251326;0,518404223730358
"PR-1TF20";0,280228881856369;0,593402683094629;0,706108439955065;0,668893096514784;0,756614343265435;0,850852293410747;0,620618472945388;0,817375546159078;0,71732013818858;0,625485680812525
"PR-1EP30";0,220291714358544;0,570389071520117;0,665111357257243;0,541701127158079;0,711958893475645;0,751467142678129;0,932785439932791;0,847488838307314;0,492636206315707;0,904685112809106
"PR-1EP30RE015";0,527088998972436;0,502624458371712;0,966368253002633;0,724217244499392;0,760798216256241;0,804253610918096;0,886853966885246;0,793129813613671;0,519229724709637;0,710223646836458
"PR0TF45";0,243178239128441;0,529723925737651;0,827113864941858;0,619730213215565;0,597390616347995;0,531571317563372;0,553647127465247;0,582792024433521;0,566088494668989;0,555454732242271
"PR0TF20";0,29508214197168;0,559426274131581;0,796621709443983;0,793397745736317;0,896008108926626;0,691269569888083;0,789314815730646;0,830928150859833;0,751073718888151;0,947686107044861
"PR0EP30";0,388251117744859;0,467374007387656;0,59544871125752;0,707675085801209;0,618672116685095;0,59157764202021;0,479691557210145;0,761359835485511;0,89144288360162;0,905533899137792
"PR0EP30RE015";0,365932373842101;0,554400692970332;0,735773119111426;0,832736083799303;0,880645578238056;0,662851967099517;0,889155398664904;0,812105656631459;0,706480326812796;0,714950314854997
"PR1TF45";0,361995615933305;0,664797394337259;0,52622774125194;0,564764648978365;0,643342766542614;0,544578845620334;0,68694146602274;0,375974340809924;0,672791664873287;0,3829192993865
"PR1TF20";0,324937316328358;0,569109521113425;0,496204742683945;0,473613692480525;0,522522361745416;0,53133092649906;0,542905736079814;0,658041280625945;0,593049932687301;0,445861359370191
"PR1EP30";0,308446934588668;0,379468724461963;0,584069250493268;0,674865168052845;0,657956701553558;0,751962691890807;0,710559179440559;0,741181227752284;0,854809114756062;0,774176636010858
"PR1EP30RE015";0,295732451288827;0,583136989217928;0,830660292116419;0,613375424055444;0,625869464305957;0,612118083918855;0,700380343748802;0,705874604933;0,741261707720842;0,50079724562299
"PR2TF45";0,418467845635676;0,582182677315582;0,582442716319018;0,54740569395448;0,6676379740002;0,516959960021257;0,558683840753596;0,374485496575681;0,525039638976881;0,171506348209447
"PR2TF20";0,373875266146006;0,428760224408502;0,388760469424946;0,598382162005411;0,585927037672894;0,58154181314965;0,401706503195427;0,375438259510815;0,671492458658857;0,350776189015964
"PR2EP30";0,265667581242606;0,310499351266701;0,440514794477789;0,360622146394505;0,44075980532792;0,714203668042271;0,566407725405422;0,344459840422043;0,760180910269893;0,477718207158013
"PR2EP30RE015";0,372486334181205;0,500659063604135;0,630283365340799;0,59732887891637;0,631674079072507;0,703884713047354;0,754094215764569;0,67000403948857;0,654745426158835;0,598907302010964
