"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,52043461633571;0,534918459706717;0,512338826907502;0,492936098324115;0,468659096623165;0,390362089963773;0,347656443620183;0,275127539739455;0,242024845501864;0,216939324414298
"ALETF20";0,650609496073085;0,630425415776428;0,627797955852904;0,638531011862157;0,640758004446216;0,534889747958169;0,54469782631946;0,481088100731072;0,365550401740435;0,320331733057857
"ALEEP30";0,522376491033847;0,562464750993122;0,50579266350302;0,515380012260253;0,435698044599765;0,374352816622355;0,312049129751988;0,311225589793948;0,294384267490926;0,296098070702165
"ALEEP30RE015";0,667261190801888;0,643761298356871;0,595235913368962;0,664775678565547;0,625385998534959;0,543736872650213;0,618876728140984;0,4219897574019;0,471331328426258;0,349112701127599
"MIFTF45";0,349474890157266;0,357680679041926;0,328885805757894;0,285159490826684;0,259585080833931;0,234386159018529;0,24165266073203;0,148549712051837;0,106993566983148;0,114261245255231
"MIFTF20";0,419245353648467;0,403266040823252;0,418629039083739;0,383134875375131;0,325809803418598;0,315078222528153;0,313428943414746;0,211333553124053;0,167536652465738;0,180429198817546
"MIFEP30";0,34175006027399;0,357869273550168;0,332186689902541;0,304113265285743;0,294305291787254;0,288938409293869;0,254827691228187;0,242807226746869;0,180853710060245;0,209312326021821
"MIFEP30RE015";0,439666149319724;0,43254438712327;0,440046764342903;0,409359642316023;0,354142860968957;0,335875973157168;0,296221436179359;0,249342329370891;0,180853710060245;0,209312326021821
"PR-1TF45";0,392573063738752;0,378451211021211;0,413243892981225;0,317465568050816;0,284616385840024;0,228402401354477;0,207434128785119;0,113864531155471;0,109946462500919;0,115053018487594
"PR-1TF20";0,465915808665197;0,448027066511634;0,465215147829873;0,401417265204788;0,380007311076209;0,299778822615769;0,271574851945807;0,212413465262575;0,162641109897528;0,171118162370612
"PR-1EP30";0,413075024740837;0,372607266639337;0,367015117319079;0,337019965822169;0,320877700015084;0,300617598230684;0,268112050237265;0,227781499237624;0,183111678408353;0,207559020016205
"PR-1EP30RE015";0,474919752271646;0,460118352566306;0,481262143223216;0,417215776437161;0,400487751153489;0,346637717178181;0,34268965680554;0,252955109332699;0,213408162418004;0,186593051466869
"PR0TF45";0,384730909135304;0,389725318968322;0,431964040026735;0,344376114374212;0,287136658569488;0,249155198621632;0,196889434538348;0,138029798671037;0,102188924832423;0,117853559661206
"PR0TF20";0,461334104267232;0,435278467165734;0,438035210126632;0,408837687003217;0,437824681757501;0,337536416817238;0,275167037437436;0,207029705574815;0,165586920369162;0,164813410099554
"PR0EP30";0,369853558900167;0,380053530645957;0,389231752335495;0,337874887883441;0,318288882314789;0,287890900632315;0,277407706496123;0,249959326017294;0,177590815840201;0,20219905811948
"PR0EP30RE015";0,503786290523055;0,470069802779308;0,468321937094552;0,445091119629742;0,382046749804898;0,372250402386394;0,264583212616847;0,230140326781495;0,186491603111783;0,196455229891034
"PR1TF45";0,421074529523699;0,39091792946154;0,399735142196318;0,368046910065549;0,324403323949004;0,256506482756086;0,209308092359137;0,14223384669323;0,111136975913082;0,121892880359295
"PR1TF20";0,473122558186909;0,463288057064188;0,455713837688041;0,427179706191484;0,388264099665797;0,291479220183249;0,265203356605202;0,25921044326455;0,171825239035948;0,175120194354818
"PR1EP30";0,369264633350065;0,352734967651777;0,393219212496886;0,333861455208549;0,300857201548361;0,289355010822388;0,251408253024925;0,246952624395889;0,19148886030704;0,201341482147502
"PR1EP30RE015";0,502819352597089;0,472226821667108;0,489387419622207;0,47215079609198;0,395920199370645;0,381001378277575;0,354282300881746;0,232129476873605;0,205733857874208;0,210998041290953
"PR2TF45";0,43292892945911;0,395163619221458;0,430664159378873;0,361152214718425;0,359978029595924;0,283392031510011;0,214343624411188;0,173357295273783;0,118348597885286;0,126032660922782
"PR2TF20";0,490325549321268;0,465178423308968;0,493172978580781;0,395866751538364;0,376787809201333;0,369969597578747;0,320272908693672;0,292038264424104;0,174109875897519;0,180613592049817
"PR2EP30";0,413457582993651;0,382510484993979;0,396750422998995;0,333624679241261;0,304199680693798;0,288120518781839;0,273105960798775;0,250532028848534;0,24159567885005;0,243896113283634
"PR2EP30RE015";0,56687866797545;0,589897988539415;0,559790642045964;0,510063003404816;0,471439892904794;0,486205532481565;0,412423088118557;0,324638876343532;0,260679254832027;0,253552290163942
