"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,563350642200338;0,619901990843927;0,577409448233382;0,577663154391544;0,541493332916138;0,57190238323254;0,49940029032406;0,419895819408473;0,296922886715225;0,264858951187932
"ALETF20";0,658869810826908;0,633772506437238;0,646368969929849;0,648915289740671;0,599601012198617;0,599000217936449;0,632769631397785;0,562231486217219;0,525241437740766;0,395308025943266
"ALEEP30";0,571790660889693;0,572793277828876;0,545890731707861;0,512374120140671;0,49595996416605;0,414911194118778;0,494887975688325;0,359059120980246;0,306135908205799;0,285487071594644
"ALEEP30RE015";0,651199822028893;0,630870445114667;0,691986402554045;0,672020243260346;0,664928344083937;0,670293619178731;0,637638566713482;0,606133702679786;0,577626835002049;0,534145862632343
"MIFTF45";0,399396618974088;0,359927354863966;0,351558384269969;0,333000462929634;0,286758463518795;0,261564004200067;0,229456925560785;0,175190067728103;0,166820757318715;0,137585345131258
"MIFTF20";0,456611088082478;0,417960070213749;0,4028459326055;0,367593818260786;0,340991144287957;0,335278790181348;0,308719205619115;0,270652609214245;0,268008716661871;0,206898713979914
"MIFEP30";0,398519829522063;0,370203303203678;0,350319801826751;0,327327712801277;0,296182555478652;0,291862591508639;0,282785877892134;0,275140914367142;0,270275655817532;0,241514692241187
"MIFEP30RE015";0,462188738432206;0,430539784010391;0,4189209345058;0,391024634400139;0,362034507841275;0,367052487885026;0,347787327833948;0,322140204667227;0,309168638888009;0,242069076595564
"PR-1TF45";0,461422984701997;0,45928233104454;0,432931489287236;0,384822931011568;0,337340814228475;0,328749313623038;0,291450122721189;0,190261154337075;0,149992919366641;0,124748533768282
"PR-1TF20";0,507628999290279;0,48445971565065;0,433065412962913;0,436623667265821;0,41431233932828;0,340576240395534;0,341289874694914;0,35954820367946;0,23264961593094;0,208448899970855
"PR-1EP30";0,473863987962218;0,422769262716328;0,448392624677882;0,354875447132842;0,361387209705539;0,300263273226186;0,294235820322763;0,289133819392284;0,265363390211025;0,248594772778957
"PR-1EP30RE015";0,46321492210489;0,476499898657873;0,544413231577878;0,426393897593526;0,401646766608472;0,408889196728902;0,345803291505236;0,289835448038792;0,262372990466063;0,239061890606467
"PR0TF45";0,460427063734636;0,444230271669526;0,491009909416746;0,395635353260945;0,317273754502219;0,311883123763458;0,288759239558819;0,195846423189982;0,154033474135195;0,124490948854939
"PR0TF20";0,489253839907379;0,42148862296766;0,47728086380536;0,415437405678983;0,421215729339331;0,406635150069908;0,358235696807719;0,280269835455607;0,291626816785125;0,2075538405235
"PR0EP30";0,429275713120027;0,418608935411765;0,454880417477863;0,377189786448954;0,354640755270253;0,323983681036672;0,322346729148524;0,280478430157407;0,248030999803181;0,230346465497014
"PR0EP30RE015";0,493481937882863;0,450424235742369;0,494579476614601;0,449857347774881;0,400398696076699;0,467109923358573;0,33670247498144;0,325316448115137;0,298315669642993;0,227377075357132
"PR1TF45";0,490335517026891;0,430241328207026;0,435850162831812;0,401377143945234;0,304803269165158;0,339261138547822;0,312103047672455;0,203014931594596;0,179328481826974;0,123742652902595
"PR1TF20";0,502010115700425;0,489835526695591;0,487977617695813;0,444494000425373;0,41144132785709;0,405611204940052;0,334417642489193;0,297931133820171;0,30748104468881;0,206732600662248
"PR1EP30";0,436231124968539;0,4021358138959;0,459957810619004;0,396880146858761;0,326525781370139;0,317142573515761;0,297684596079662;0,290758721699191;0,256843705528045;0,218300204378176
"PR1EP30RE015";0,5453479762026;0,501530616166394;0,521522724150796;0,472002672336377;0,430757924185659;0,42785858383958;0,425034349804364;0,370897308283465;0,359623043043145;0,223982559915999
"PR2TF45";0,472321264213187;0,445027538723731;0,434782538762387;0,391003545238182;0,366502694508603;0,3773800906156;0,263316619052061;0,250976269529667;0,201906404401232;0,146391851165629
"PR2TF20";0,492402008279798;0,493908007453233;0,452543946360815;0,436457024965559;0,443564318157785;0,436611316191169;0,352828059125371;0,349537201906058;0,270437263849346;0,188885370861402
"PR2EP30";0,441608902794245;0,41389074346181;0,441621044086579;0,38380055529062;0,358491006063247;0,331123389969956;0,342891482501705;0,280158008799302;0,276340926416558;0,24646905337545
"PR2EP30RE015";0,632924174524714;0,585559636551545;0,56853894484899;0,611110337572378;0,575376270533494;0,567736793660008;0,544088155566422;0,446591515901517;0,438528418170434;0,363063025326432
