"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,641476550064104;0,677197526428446;0,655904512102201;0,620217527093241;0,697665905760515;0,586688171390293;0,608094007581624;0,610531803155008;0,587488978457612;0,369779827472356
"ALETF20";0,712385415700726;0,695337635171858;0,713569910748478;0,718496242877415;0,692364959367868;0,776114329260085;0,681775889624731;0,729695435323345;0,722604654395529;0,511204524058163
"ALEEP30";0,623370782233721;0,612467301243696;0,628153364047751;0,634618694446179;0,64307310078475;0,610668839448679;0,56556761336467;0,560661488193593;0,540116537613621;0,340038474431564
"ALEEP30RE015";0,765380349521002;0,733436545193559;0,735155154665962;0,739123566909269;0,732758624983797;0,721148031935237;0,757776102023534;0,788388883454019;0,765614305479259;0,580178506855343
"MIFTF45";0,509702549278685;0,466472101355167;0,495274302877822;0,467958898033771;0,458278331747704;0,434468619505799;0,424679754706701;0,345411537562077;0,315942962596162;0,211290251440431
"MIFTF20";0,566629199486048;0,521648938196618;0,518130364036485;0,515245592390215;0,526251379191711;0,481940590219467;0,511671845864152;0,438711152904777;0,415134397344244;0,317756202654294
"MIFEP30";0,510165917180831;0,466098954710546;0,498073456748054;0,466982632557622;0,454102354597226;0,42382137215851;0,417317437989981;0,337408251418311;0,333880024130729;0,27858234599124
"MIFEP30RE015";0,561929482526477;0,531282409613519;0,523181214227548;0,532857424333418;0,540912312204865;0,517083318821366;0,524117824288992;0,467753451701577;0,447825922737813;0,35954405605656
"PR-1TF45";0,514257912226719;0,546401635007527;0,52854915999978;0,545796086376607;0,527609460459679;0,442588634415192;0,334658968342412;0,280406115028118;0,293911010261966;0,17864551769806
"PR-1TF20";0,553341284603116;0,53469276278458;0,519805969477774;0,575912511881141;0,532249879259801;0,463946963939095;0,425338762184261;0,418942775166828;0,390846807014902;0,295899815420176
"PR-1EP30";0,573362851146622;0,535515922483663;0,550016857320216;0,5610329877477;0,543790984614084;0,476502748493384;0,297637895409063;0,341518164940312;0,306354720797992;0,257517021448955
"PR-1EP30RE015";0,571908195400521;0,576142365458408;0,571081873918163;0,560637050292588;0,576918275120887;0,486925941130439;0,36379071205035;0,482626706329137;0,467851890845564;0,354250340230232
"PR0TF45";0,553390872422556;0,512275587290601;0,537407747007937;0,567697616659046;0,482661617335893;0,45187864446452;0,332693935793543;0,347693252454779;0,282161689998234;0,182252007553245
"PR0TF20";0,579164631391761;0,553169536300904;0,548197394147386;0,58070935351264;0,552104723365454;0,546926525482847;0,408122738178357;0,44428387889003;0,400398936103137;0,279013119020706
"PR0EP30";0,558746304898835;0,543605918874504;0,565254196251562;0,556053474369324;0,523539712475757;0,419238176127486;0,421885611395379;0,31250729881843;0,368234792238867;0,262355582694729
"PR0EP30RE015";0,543749894062473;0,582736982672256;0,593969981485846;0,563412179007434;0,57722516997231;0,51657378412717;0,469268460158533;0,486364094310692;0,487188748500012;0,338351674636321
"PR1TF45";0,539820702064179;0,521287264147401;0,559109782926859;0,533779614766372;0,488233245327283;0,469130139825822;0,468694537918863;0,344152403762679;0,272520068118762;0,182528957617518
"PR1TF20";0,594684285776568;0,56443305575147;0,540807104718021;0,578837198294988;0,54599181950462;0,512737781422817;0,544926774223438;0,509629938051394;0,439024597613607;0,295974436348146
"PR1EP30";0,548591662727505;0,539740805093603;0,520504352543759;0,550973551202113;0,477948345065806;0,474595982742855;0,425932765452009;0,333194104583598;0,300323141877779;0,244790597911533
"PR1EP30RE015";0,620478912112809;0,571976041167437;0,596240103886535;0,576860464453062;0,584623821211704;0,573742031475224;0,52939877662459;0,504358560174269;0,501648132495932;0,34709373333404
"PR2TF45";0,573500049096167;0,547274219682082;0,517909477968003;0,556681978787543;0,562411266381525;0,461508181400256;0,389257385841454;0,380817735731541;0,301347331091318;0,169421504552498
"PR2TF20";0,61740300079293;0,587597205922834;0,574548004963202;0,56668241859665;0,585425551182452;0,486928176761766;0,553752669390798;0,533178530454149;0,408898808333594;0,316478705498558
"PR2EP30";0,534731781209896;0,523443976246443;0,550315993042149;0,537389939490933;0,48596991698432;0,452699098378053;0,397803672104884;0,375347955253261;0,345392397805178;0,270384477020645
"PR2EP30RE015";0,672430720371128;0,686994440725827;0,657484511143664;0,683417267585516;0,604554591485255;0,703365570428834;0,650994323896893;0,653453505756628;0,595902051617539;0,418618331432551
